id,name,controversy_date,apology_date,beauty,beauty_notes,controversy_type,controversy_summary,likes_dislikes_views,channel_id,avg_shot_length,video_link,original_available,info_page,remove_flag,note,growth_pre,growth_post,growth_delta
44,Jake Dufner,"May 22, 2018","May 23, 2018",,,Insensitive Video,He made a video in which he depicts being killed on camera. Some portion of his younger audience believed this since the content on his channel is presented as being real. ,17731/4355/282632,UCDzDekH88FXNKKYB4dGUDkQ,,https://www.youtube.com/watch?v=rQncGfdEOnQ,TRUE,,FALSE,,B,B,0
45,Manny Mua,"Aug 13, 2018","Aug 22, 2018",yes,,YouTuber Beef,"During his feud with Jeffree Star, he was called out by Gabriel Zamora for being a toxic presence.",,,,https://www.youtube.com/watch?v=s86Ja0LyNFI,TRUE,,FALSE,,,,
46,Yovana Mendoza,"Mar 15, 2019","Mar 15, 2019",,,Character Allegations,"Yovana used to run a channel centered around a vegan lifestyle. However, a video of her eating fish was accidentally released on a friend's vlog.",,,,https://www.youtube.com/watch?v=rHjaKB0A14A,TRUE,,FALSE,,,,
48,Simply Kenna,"Jul 15, 2017","Aug 10, 2017",,,Plagiarism,She was accused of stealing artwork and content from other creators and online sources.,,,,https://www.youtube.com/watch?v=zluEUZmECBs,TRUE,,FALSE,,,,
47,Summer Mckeen,"Aug 11, 2019","Aug 13, 2019",,,Racist Comments,,,,,,FALSE,,TRUE,less than 90 days post apology,,,
2,Boogie2988,,"Sep 17, 2019",,,,,,,,https://www.youtube.com/watch?v=KyZcnS4veUY,TRUE,https://en.wikipedia.org/wiki/Boogie2988,TRUE,,,,
3,Brooke Houts,,"Sep 19, 2019",,,,,,,,https://www.youtube.com/watch?v=6qfHTGbqMNU,TRUE,http://youtube.fandom.com/wiki/Brooke_Houts,TRUE,,,,
7,Fie Laursen,"May 21, 2016","May 21, 2016",,,None,"She released a video admitting to lying and creating a fake persona to stay relevant, and for money and fame.",10650/4753/786681,UCAn3KlW4Ug1K-BGLMDEBNKA,,https://www.youtube.com/watch?v=l-QoxO2X7WU,TRUE,http://youtube.fandom.com/wiki/Fie_Laursen,TRUE,"non-english, remove?",,,
11,Jay Station,"Jun 26, 2019","Jun 27, 2019",,,Insensitive Video,Used another YouTuber's death as clickbait to boost views on video,27240/84545/843313,UCOjRAkq9NNSPBgxljkFDAGg,,https://www.youtube.com/watch?v=OCMHfqtzDs4,TRUE,http://youtube.fandom.com/wiki/ImJayStation,TRUE,less than 90 days post apology,,,
23,N&A Prod,"Jun 26, 2019","Jul 2, 2019",,,Insensitive Video,Used another YouTuber's death as clickbait to boost views on video,2935/38237/234278,UC-QZWTOtdsm6CNPHUR88irA,,https://www.youtube.com/watch?v=uqfVvVEd0u0,TRUE,http://youtube.fandom.com/wiki/N%26A_Productions,TRUE,less than 90 days post apology,,,
27,ProJared,"May 9, 2019","Aug 27, 2019",,,Character Allegations,Allegations of adultery and being a child predator were initiated by his then wife Heidi,244189/32935/3275390,UC2e0bNZ6CzT-Xvr070VaGsw,,https://www.youtube.com/watch?v=BBywRBbDUjA,TRUE,http://youtube.fandom.com/wiki/ProJared,TRUE,less than 90 days post apology,,,
29,Sam Pepper,"Sep 20, 2014","Feb 23, 2016",,,Character Allegations,"Made a prank video where he grabbed strangers' butts. Soon after posting this, other allegations of sexual harrassment and assault surfaced. The controversy kept building for a year and a half at which point sam made his apology video.",,UCKGiTasUqLcZUuUjQiyKotw,,https://www.youtube.com/watch?v=_xr1KOnGG3Y,FALSE,https://en.wikipedia.org/wiki/Sam_Pepper,TRUE,less than 90 days pre controversy,,,
30,Shane,,"Sep 26, 2014",,,,,,,,https://www.youtube.com/watch?v=3jZDt5zQWsE,TRUE,https://en.wikipedia.org/wiki/Shane_Dawson,TRUE,,,,
32,Slazo,"Jun 10, 2019","Jun 27, 2019",,,Character Allegations,Sexual abuse allegations were released by ex girlfriend and then more allegations were surfaced,124472/3792/1169051,UC5zUt-9qSFHF8if6TQBq6CA,,https://www.youtube.com/watch?v=6697EYDzEhI,TRUE,http://youtube.fandom.com/wiki/Slazo,TRUE,less than 90 days post apology,,,
35,TheSyndicateProject,,,,,,,,,,,FALSE,http://youtube.fandom.com/wiki/TheSyndicateProject,TRUE,,,,
36,Trisha Paytas,,"Oct 8, 2019",,,,,,,,https://www.youtube.com/watch?v=T9tzBo8L1F8,TRUE,https://en.wikipedia.org/wiki/Trisha_Paytas,TRUE,,,,
37,Yamimash,,,,,,,,,,,FALSE,http://youtube.fandom.com/wiki/Yamimash,TRUE,,,,
41,Romeo Lacoste,,"Mar 17, 2019",,,,,,,,https://www.youtube.com/watch?v=pSxmG2E3HQc,TRUE,,TRUE,,,,
